10.['generalized_linear', 'mean', '4', '64', 'elu', 'gcn', 'sum', '6', '64', 'tanh']: feedback:8.5796 L_1:10.4247 L_2:8.5796 M_1:-0.1112 M_2:0.0000 S_1:10.5360 S_2:0.0000
10.['gat', 'mean', '4', '16', 'leaky_relu', 'cos', 'sum', '1', '128', 'relu6']: feedback:9.5659 L_1:10.5079 L_2:9.5659 M_1:-0.0514 M_2:0.0000 S_1:10.5594 S_2:0.0000
0.['gcn', 'mlp', '2', '256', 'softplus', 'gcn', 'sum', '1', '64', 'leaky_relu']: feedback:10.4188 L_1:10.5918 L_2:10.4188 M_1:-0.0122 M_2:0.0000 S_1:10.6040 S_2:0.0000
0.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'mean', '6', '8', 'relu6']: feedback:9.4647 L_1:10.7013 L_2:9.4647 M_1:-0.0459 M_2:0.0000 S_1:10.7472 S_2:0.0000
0.['gat_sym', 'mean', '4', '8', 'linear', 'gat_sym', 'max', '8', '64', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['gat', 'mean', '8', '32', 'softplus', 'const', 'sum', '4', '16', 'elu']: feedback:10.5893 L_1:10.6738 L_2:10.5893 M_1:-0.0151 M_2:0.0000 S_1:10.6890 S_2:0.0000
0.['const', 'max', '4', '128', 'sigmoid', 'linear', 'mlp', '2', '256', 'softplus']: feedback:10.5301 L_1:10.5813 L_2:10.5301 M_1:0.0001 M_2:0.0000 S_1:10.5812 S_2:0.0000
0.['cos', 'sum', '6', '64', 'relu6', 'generalized_linear', 'mean', '4', '8', 'linear']: feedback:8.6411 L_1:10.6744 L_2:8.6411 M_1:-0.1155 M_2:0.0000 S_1:10.7899 S_2:0.0000
0.['gcn', 'sum', '2', '64', 'elu', 'gat', 'mean', '4', '64', 'tanh']: feedback:8.5857 L_1:10.2608 L_2:8.5857 M_1:-0.1896 M_2:0.0000 S_1:10.4504 S_2:0.0000
0.['generalized_linear', 'mlp', '1', '32', 'tanh', 'cos', 'mlp', '16', '128', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['gat_sym', 'max', '16', '128', 'leaky_relu', 'gat_sym', 'sum', '8', '32', 'leaky_relu']: feedback:8.6254 L_1:10.5376 L_2:8.6254 M_1:-0.0497 M_2:0.0000 S_1:10.5873 S_2:0.0000
0.['gat', 'mean', '4', '16', 'linear', 'gcn', 'max', '1', '64', 'softplus']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['gcn', 'mlp', '8', '16', 'softplus', 'gat', 'max', '16', '64', 'elu']: feedback:10.2022 L_1:10.6636 L_2:10.2022 M_1:-0.0017 M_2:0.0000 S_1:10.6653 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'cos', 'sum', '6', '16', 'relu6']: feedback:9.1170 L_1:10.5983 L_2:9.1170 M_1:-0.0504 M_2:0.0000 S_1:10.6488 S_2:0.0000
0.['gat', 'mean', '4', '16', 'linear', 'gcn', 'max', '1', '64', 'softplus']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['const', 'mean', '8', '32', 'sigmoid', 'generalized_linear', 'sum', '4', '32', 'tanh']: feedback:10.5477 L_1:10.6007 L_2:10.5477 M_1:-0.0211 M_2:0.0000 S_1:10.6218 S_2:0.0000
0.['cos', 'sum', '4', '128', 'tanh', 'const', 'sum', '8', '128', 'sigmoid']: feedback:9.5419 L_1:10.5811 L_2:9.5419 M_1:-0.0007 M_2:0.0000 S_1:10.5818 S_2:0.0000
0.['gat_sym', 'max', '6', '8', 'relu6', 'linear', 'mlp', '2', '256', 'leaky_relu']: feedback:10.4766 L_1:10.5877 L_2:10.4766 M_1:-0.0002 M_2:0.0000 S_1:10.5879 S_2:0.0000
0.['gcn', 'mlp', '1', '256', 'softplus', 'gat_sym', 'max', '16', '8', 'softplus']: feedback:10.3753 L_1:10.5823 L_2:10.3753 M_1:-0.0005 M_2:0.0000 S_1:10.5828 S_2:0.0000
0.['generalized_linear', 'max', '16', '16', 'leaky_relu', 'cos', 'sum', '6', '16', 'relu6']: feedback:8.9578 L_1:10.5877 L_2:8.9578 M_1:-0.0470 M_2:0.0000 S_1:10.6348 S_2:0.0000
0.['gat', 'mean', '2', '64', 'linear', 'gcn', 'max', '1', '64', 'softplus']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['const', 'mean', '6', '32', 'sigmoid', 'cos', 'sum', '4', '128', 'tanh']: feedback:10.4443 L_1:10.5609 L_2:10.4443 M_1:-0.0206 M_2:0.0000 S_1:10.5815 S_2:0.0000
10.['gcn', 'mlp', '16', '32', 'softplus', 'gat_sym', 'sum', '8', '256', 'relu6']: feedback:10.5080 L_1:10.5578 L_2:10.5080 M_1:-0.0175 M_2:0.0000 S_1:10.5753 S_2:0.0000
10.['generalized_linear', 'max', '2', '64', 'sigmoid', 'cos', 'mlp', '2', '128', 'leaky_relu']: feedback:10.4270 L_1:10.5118 L_2:10.4270 M_1:0.0070 M_2:0.0000 S_1:10.5048 S_2:0.0000
10.['gat_sym', 'mean', '8', '8', 'leaky_relu', 'gcn', 'sum', '4', '8', 'elu']: feedback:9.2867 L_1:10.8037 L_2:9.2867 M_1:-0.0812 M_2:0.0000 S_1:10.8849 S_2:0.0000
10.['cos', 'mean', '4', '128', 'linear', 'gat', 'max', '4', '16', 'linear']: feedback:8.8117 L_1:10.6311 L_2:8.8117 M_1:-0.0175 M_2:0.0000 S_1:10.6485 S_2:0.0000
10.['gat', 'max', '4', '16', 'softplus', 'const', 'sum', '1', '32', 'softplus']: feedback:10.4148 L_1:10.5790 L_2:10.4148 M_1:-0.0185 M_2:0.0000 S_1:10.5974 S_2:0.0000
10.['const', 'sum', '6', '256', 'relu6', 'linear', 'mean', '6', '64', 'sigmoid']: feedback:10.5824 L_1:10.5823 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5823 S_2:0.0000
10.['linear', 'max', '1', '64', 'tanh', 'generalized_linear', 'max', '4', '64', 'tanh']: feedback:9.4012 L_1:10.6048 L_2:9.4012 M_1:-0.0117 M_2:0.0000 S_1:10.6165 S_2:0.0000
10.['gcn', 'sum', '2', '128', 'elu', 'gat', 'mlp', '2', '128', 'relu6']: feedback:9.5537 L_1:10.5838 L_2:9.5537 M_1:-0.0004 M_2:0.0000 S_1:10.5842 S_2:0.0000
10.['generalized_linear', 'mlp', '16', '8', 'relu6', 'cos', 'mean', '4', '8', 'linear']: feedback:10.3904 L_1:10.8194 L_2:10.3904 M_1:-0.0354 M_2:0.0000 S_1:10.8548 S_2:0.0000
10.['gat_sym', 'sum', '8', '32', 'linear', 'gat_sym', 'mean', '8', '64', 'relu6']: feedback:8.6605 L_1:10.4150 L_2:8.6605 M_1:-0.1029 M_2:0.0000 S_1:10.5178 S_2:0.0000
0.['gcn', 'mlp', '8', '16', 'softplus', 'gat', 'max', '16', '64', 'elu']: feedback:10.1982 L_1:10.6663 L_2:10.1982 M_1:-0.0018 M_2:0.0000 S_1:10.6682 S_2:0.0000
0.['generalized_linear', 'max', '2', '64', 'leaky_relu', 'cos', 'sum', '6', '16', 'relu6']: feedback:9.0254 L_1:10.5850 L_2:9.0254 M_1:-0.0460 M_2:0.0000 S_1:10.6310 S_2:0.0000
0.['gat_sym', 'mean', '1', '64', 'linear', 'gcn', 'max', '2', '64', 'sigmoid']: feedback:10.5824 L_1:10.5824 L_2:10.5824 M_1:-0.0000 M_2:0.0000 S_1:10.5824 S_2:0.0000
0.['const', 'mean', '8', '32', 'sigmoid', 'generalized_linear', 'sum', '4', '32', 'tanh']: feedback:10.5824 L_1:10.5979 L_2:10.5824 M_1:-0.0146 M_2:0.0000 S_1:10.6124 S_2:0.0000
0.['cos', 'sum', '4', '128', 'relu6', 'gat_sym', 'sum', '8', '128', 'leaky_relu']: feedback:8.4475 L_1:10.4617 L_2:8.4475 M_1:-0.0700 M_2:0.0000 S_1:10.5316 S_2:0.0000
