1.['cos', 'mean', '4', '64', 'tanh', 'linear', 'sum', '8', '64', 'relu6']: feedback:198.2653 L_1:8.6686 L_2:6.6859 M_1:-0.1137 M_2:-0.7288 S_1:8.7823 S_2:7.4147
2.['const', 'sum', '6', '256', 'relu6', 'generalized_linear', 'mean', '4', '64', 'relu6']: feedback:217.8319 L_1:8.6886 L_2:6.5103 M_1:-0.1024 M_2:-0.7725 S_1:8.7911 S_2:7.2828
3.['generalized_linear', 'max', '16', '64', 'elu', 'gat_sym', 'max', '6', '8', 'linear']: feedback:214.5823 L_1:8.9018 L_2:6.7559 M_1:-0.0411 M_2:-0.7279 S_1:8.9429 S_2:7.4838
4.['cos', 'sum', '4', '16', 'elu', 'gcn', 'mean', '4', '8', 'elu']: feedback:194.3071 L_1:8.8685 L_2:6.9255 M_1:-0.2034 M_2:-0.7971 S_1:9.0720 S_2:7.7225
5.['const', 'mean', '16', '128', 'relu6', 'cos', 'sum', '4', '64', 'tanh']: feedback:226.0618 L_1:8.5904 L_2:6.3298 M_1:-0.1808 M_2:-0.8855 S_1:8.7712 S_2:7.2153
1.['gat', 'mean', '4', '64', 'leaky_relu', 'gcn', 'sum', '6', '256', 'tanh']: feedback:195.0959 L_1:8.5967 L_2:6.6457 M_1:-0.1609 M_2:-0.8385 S_1:8.7576 S_2:7.4842
2.['cos', 'sum', '4', '64', 'linear', 'generalized_linear', 'mean', '4', '8', 'elu']: feedback:219.3405 L_1:8.8758 L_2:6.6824 M_1:-0.2171 M_2:-0.8319 S_1:9.0928 S_2:7.5143
3.['cos', 'sum', '6', '256', 'leaky_relu', 'gat_sym', 'sum', '16', '64', 'relu6']: feedback:244.7487 L_1:8.6876 L_2:6.2402 M_1:-0.1002 M_2:-0.8117 S_1:8.7878 S_2:7.0518
4.['gat', 'max', '2', '256', 'relu6', 'gat_sym', 'mean', '4', '64', 'linear']: feedback:196.5069 L_1:8.6201 L_2:6.6550 M_1:-0.1599 M_2:-0.8188 S_1:8.7800 S_2:7.4738
5.['generalized_linear', 'max', '2', '64', 'elu', 'const', 'sum', '4', '64', 'tanh']: feedback:187.6758 L_1:8.5992 L_2:6.7224 M_1:-0.1684 M_2:-0.8387 S_1:8.7675 S_2:7.5611
1.['const', 'max', '4', '128', 'tanh', 'linear', 'sum', '4', '128', 'relu6']: feedback:183.3512 L_1:8.5050 L_2:6.6715 M_1:-0.0685 M_2:-0.6803 S_1:8.5734 S_2:7.3517
