40.['gat_sym', 'mean', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:131.6800 L_1:8.6328 L_2:7.3160 M_1:-0.0072 M_2:-0.4975 S_1:8.6400 S_2:7.8135
40.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:154.6145 L_1:8.6269 L_2:7.0808 M_1:-0.0092 M_2:-0.6496 S_1:8.6362 S_2:7.7304
40.['gat_sym', 'mean', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:124.1259 L_1:8.6343 L_2:7.3930 M_1:-0.0066 M_2:-0.4926 S_1:8.6409 S_2:7.8856
40.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:145.4557 L_1:8.6266 L_2:7.1721 M_1:-0.0079 M_2:-0.5814 S_1:8.6345 S_2:7.7534
40.['gat_sym', 'mean', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:105.7880 L_1:8.6373 L_2:7.5794 M_1:-0.0072 M_2:-0.4700 S_1:8.6444 S_2:8.0494
40.['gat', 'max', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:151.5964 L_1:8.6265 L_2:7.1105 M_1:-0.0115 M_2:-0.6148 S_1:8.6380 S_2:7.7253
40.['gat_sym', 'mean', '16', '64', 'linear', 'gat', 'mlp', '16', '64', 'linear']: feedback:130.9223 L_1:8.6355 L_2:7.3263 M_1:-0.0074 M_2:-0.5027 S_1:8.6429 S_2:7.8290
0.['gat', 'max', '8', '16', 'softplus', 'const', 'sum', '1', '32', 'elu']: feedback:94.6719 L_1:8.3158 L_2:7.3691 M_1:-0.1908 M_2:-0.4912 S_1:8.5066 S_2:7.8604
0.['generalized_linear', 'mlp', '2', '64', 'relu6', 'gat', 'max', '6', '16', 'leaky_relu']: feedback:31.7475 L_1:8.4317 L_2:8.1142 M_1:-0.0860 M_2:-0.1301 S_1:8.5177 S_2:8.2443
0.['gcn', 'mean', '6', '256', 'sigmoid', 'linear', 'mlp', '4', '256', 'tanh']: feedback:-16.2455 L_1:8.1258 L_2:8.2882 M_1:-0.1891 M_2:-0.0623 S_1:8.3148 S_2:8.3505
0.['cos', 'mean', '4', '8', 'leaky_relu', 'gat_sym', 'sum', '8', '32', 'softplus']: feedback:27.7824 L_1:8.4226 L_2:8.1447 M_1:-0.0726 M_2:-0.1948 S_1:8.4952 S_2:8.3396
0.['gat_sym', 'max', '1', '64', 'linear', 'gcn', 'mean', '2', '8', 'leaky_relu']: feedback:99.0222 L_1:8.4673 L_2:7.4771 M_1:-0.1643 M_2:-0.4777 S_1:8.6316 S_2:7.9548
