2.['generalized_linear', 'mean', '16', '64', 'sigmoid', 'cos', 'max', '6', '64', 'tanh']: feedback:108.9149 L_1:8.3036 L_2:7.2145 M_1:-0.1637 M_2:-0.5886 S_1:8.3036 S_2:7.2145
3.['gcn', 'mean', '16', '64', 'sigmoid', 'generalized_linear', 'max', '4', '64', 'tanh']: feedback:124.3240 L_1:8.3409 L_2:7.0977 M_1:-0.1579 M_2:-0.6080 S_1:8.3409 S_2:7.0977
4.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:143.6396 L_1:8.4072 L_2:6.9708 M_1:-0.2442 M_2:-0.7401 S_1:8.4072 S_2:6.9708
5.['generalized_linear', 'sum', '16', '32', 'tanh', 'generalized_linear', 'mlp', '16', '256', 'tanh']: feedback:139.5435 L_1:8.3095 L_2:6.9141 M_1:-0.2294 M_2:-0.6212 S_1:8.3095 S_2:6.9141
1.['generalized_linear', 'mean', '8', '32', 'leaky_relu', 'linear', 'sum', '6', '16', 'elu']: feedback:142.2066 L_1:8.5583 L_2:7.1362 M_1:-0.1677 M_2:-0.6597 S_1:8.5583 S_2:7.1362
2.['generalized_linear', 'mean', '16', '64', 'sigmoid', 'gcn', 'max', '8', '128', 'tanh']: feedback:115.8606 L_1:8.3308 L_2:7.1722 M_1:-0.1479 M_2:-0.5092 S_1:8.3308 S_2:7.1722
3.['gcn', 'max', '6', '256', 'softplus', 'linear', 'mean', '4', '256', 'leaky_relu']: feedback:162.7616 L_1:8.4231 L_2:6.7955 M_1:-0.1502 M_2:-0.6952 S_1:8.4231 S_2:6.7955
4.['gcn', 'sum', '6', '64', 'elu', 'linear', 'mean', '6', '64', 'relu6']: feedback:138.0770 L_1:8.4307 L_2:7.0499 M_1:-0.1612 M_2:-0.6307 S_1:8.4307 S_2:7.0499
5.['gat_sym', 'mean', '4', '256', 'elu', 'gat', 'sum', '16', '64', 'leaky_relu']: feedback:131.9717 L_1:8.4803 L_2:7.1605 M_1:-0.1166 M_2:-0.5623 S_1:8.4803 S_2:7.1605
1.['gcn', 'mean', '4', '64', 'sigmoid', 'cos', 'mean', '16', '32', 'tanh']: feedback:150.9118 L_1:8.4672 L_2:6.9580 M_1:-0.1840 M_2:-0.5929 S_1:8.4672 S_2:6.9580
2.['linear', 'sum', '4', '128', 'elu', 'gcn', 'sum', '16', '64', 'tanh']: feedback:156.5009 L_1:8.4150 L_2:6.8500 M_1:-0.2397 M_2:-0.7655 S_1:8.4150 S_2:6.8500
3.['const', 'max', '4', '128', 'tanh', 'const', 'sum', '16', '64', 'relu6']: feedback:119.0828 L_1:8.4034 L_2:7.2126 M_1:-0.1610 M_2:-0.5466 S_1:8.4034 S_2:7.2126
4.['generalized_linear', 'mean', '1', '64', 'elu', 'gcn', 'sum', '6', '8', 'elu']: feedback:115.6865 L_1:8.6863 L_2:7.5295 M_1:-0.2349 M_2:-0.6499 S_1:8.6863 S_2:7.5295
5.['cos', 'sum', '2', '128', 'leaky_relu', 'gcn', 'max', '16', '8', 'leaky_relu']: feedback:109.4865 L_1:8.4935 L_2:7.3987 M_1:-0.0823 M_2:-0.5235 S_1:8.4935 S_2:7.3987
1.['gat', 'mean', '4', '256', 'tanh', 'gcn', 'sum', '4', '8', 'elu']: feedback:172.2132 L_1:8.7559 L_2:7.0338 M_1:-0.2539 M_2:-0.7283 S_1:8.7559 S_2:7.0338
2.['gcn', 'sum', '6', '16', 'linear', 'const', 'max', '4', '8', 'softplus']: feedback:105.5210 L_1:8.4778 L_2:7.4226 M_1:-0.1019 M_2:-0.5728 S_1:8.4778 S_2:7.4226
3.['gat', 'sum', '4', '128', 'relu6', 'gcn', 'mean', '1', '64', 'linear']: feedback:93.3914 L_1:8.4184 L_2:7.4845 M_1:-0.2508 M_2:-0.6209 S_1:8.4184 S_2:7.4845
4.['const', 'mean', '8', '128', 'relu6', 'linear', 'sum', '4', '16', 'softplus']: feedback:139.7825 L_1:8.4925 L_2:7.0947 M_1:-0.1418 M_2:-0.6608 S_1:8.4925 S_2:7.0947
5.['const', 'mean', '4', '256', 'relu6', 'linear', 'sum', '4', '64', 'tanh']: feedback:146.4462 L_1:8.4025 L_2:6.9380 M_1:-0.2418 M_2:-0.7578 S_1:8.4025 S_2:6.9380
1.['gcn', 'mean', '4', '64', 'softplus', 'gat', 'max', '4', '256', 'tanh']: feedback:133.2322 L_1:8.3505 L_2:7.0181 M_1:-0.1410 M_2:-0.6400 S_1:8.3505 S_2:7.0181
2.['gcn', 'mean', '8', '64', 'sigmoid', 'linear', 'mean', '4', '128', 'elu']: feedback:140.8763 L_1:8.4236 L_2:7.0149 M_1:-0.1879 M_2:-0.5944 S_1:8.4236 S_2:7.0149
3.['gcn', 'sum', '16', '64', 'elu', 'gcn', 'mean', '6', '64', 'relu6']: feedback:155.8462 L_1:8.3952 L_2:6.8368 M_1:-0.1815 M_2:-0.6501 S_1:8.3952 S_2:6.8368
4.['gat', 'sum', '6', '32', 'linear', 'gcn', 'sum', '16', '8', 'elu']: feedback:157.4311 L_1:8.7152 L_2:7.1409 M_1:-0.2123 M_2:-0.6384 S_1:8.7152 S_2:7.1409
5.['gat', 'max', '16', '64', 'softplus', 'linear', 'mean', '4', '256', 'leaky_relu']: feedback:153.2605 L_1:8.4517 L_2:6.9191 M_1:-0.1557 M_2:-0.6579 S_1:8.4517 S_2:6.9191
